account_id,account_name,segment,industry,region,employee_count
A0001,Account 0001,SMB,Retail,West,128
A0002,Account 0002,Enterprise,Retail,East,5665
A0003,Account 0003,SMB,Healthcare,Central,112
A0004,Account 0004,SMB,Education,West,177
A0005,Account 0005,Enterprise,Energy,West,18162
A0006,Account 0006,Mid-Market,Technology,East,1077
A0007,Account 0007,SMB,Retail,West,140
A0008,Account 0008,Mid-Market,Financial Services,West,527
A0009,Account 0009,SMB,Financial Services,Central,107
A0010,Account 0010,SMB,Healthcare,East,194
A0011,Account 0011,Enterprise,Technology,East,21234
A0012,Account 0012,SMB,Energy,West,194
A0013,Account 0013,SMB,Manufacturing,East,37
A0014,Account 0014,SMB,Retail,West,105
A0015,Account 0015,SMB,Healthcare,East,92
A0016,Account 0016,SMB,Education,Central,71
A0017,Account 0017,Enterprise,Financial Services,West,6535
A0018,Account 0018,Enterprise,Manufacturing,West,38031
A0019,Account 0019,SMB,Logistics,West,148
A0020,Account 0020,Mid-Market,Technology,Central,1530
A0021,Account 0021,SMB,Energy,West,73
A0022,Account 0022,SMB,Retail,East,66
A0023,Account 0023,Mid-Market,Healthcare,West,264
A0024,Account 0024,SMB,Retail,Central,181
A0025,Account 0025,SMB,Energy,West,131
A0026,Account 0026,SMB,Financial Services,East,120
A0027,Account 0027,SMB,Healthcare,East,177
A0028,Account 0028,SMB,Education,West,73
A0029,Account 0029,SMB,Manufacturing,Central,56
A0030,Account 0030,SMB,Financial Services,Central,150
A0031,Account 0031,Mid-Market,Healthcare,West,540
A0032,Account 0032,SMB,Retail,Central,25
A0033,Account 0033,SMB,Logistics,Central,126
A0034,Account 0034,Mid-Market,Energy,West,807
A0035,Account 0035,Enterprise,Healthcare,East,5286
A0036,Account 0036,Mid-Market,Manufacturing,West,364
A0037,Account 0037,SMB,Financial Services,East,70
A0038,Account 0038,Enterprise,Retail,East,42591
A0039,Account 0039,SMB,Education,Central,62
A0040,Account 0040,SMB,Technology,Central,43
A0041,Account 0041,SMB,Education,West,12
A0042,Account 0042,Enterprise,Financial Services,West,35153
A0043,Account 0043,SMB,Education,West,72
A0044,Account 0044,SMB,Technology,East,177
A0045,Account 0045,Mid-Market,Technology,East,1998
A0046,Account 0046,SMB,Financial Services,East,151
A0047,Account 0047,SMB,Retail,East,97
A0048,Account 0048,Mid-Market,Technology,East,714
A0049,Account 0049,SMB,Logistics,Central,21
A0050,Account 0050,Mid-Market,Technology,West,1104
A0051,Account 0051,Mid-Market,Healthcare,West,1615
A0052,Account 0052,SMB,Education,East,151
A0053,Account 0053,SMB,Technology,Central,20
A0054,Account 0054,Mid-Market,Financial Services,Central,1991
A0055,Account 0055,Enterprise,Manufacturing,West,13603
A0056,Account 0056,Enterprise,Healthcare,West,28982
A0057,Account 0057,Mid-Market,Retail,Central,1812
A0058,Account 0058,SMB,Healthcare,Central,66
A0059,Account 0059,SMB,Retail,West,16
A0060,Account 0060,SMB,Technology,West,81
A0061,Account 0061,SMB,Education,West,39
A0062,Account 0062,SMB,Technology,West,37
A0063,Account 0063,SMB,Education,Central,165
A0064,Account 0064,SMB,Retail,Central,21
A0065,Account 0065,SMB,Retail,Central,120
A0066,Account 0066,Enterprise,Education,East,21681
A0067,Account 0067,SMB,Logistics,Central,113
A0068,Account 0068,Mid-Market,Retail,Central,976
A0069,Account 0069,Mid-Market,Manufacturing,East,816
A0070,Account 0070,SMB,Healthcare,Central,83
A0071,Account 0071,Mid-Market,Education,Central,1105
A0072,Account 0072,SMB,Energy,East,53
A0073,Account 0073,SMB,Education,West,70
A0074,Account 0074,SMB,Retail,West,16
A0075,Account 0075,Enterprise,Financial Services,Central,39727
A0076,Account 0076,SMB,Logistics,Central,112
A0077,Account 0077,Mid-Market,Healthcare,West,648
A0078,Account 0078,Mid-Market,Energy,West,710
A0079,Account 0079,SMB,Energy,East,145
A0080,Account 0080,SMB,Energy,East,194
A0081,Account 0081,Mid-Market,Energy,West,1964
