opportunity_id,account_id,rep_id,lead_source,stage,amount,created_date,close_date,fiscal_quarter,is_won,is_closed
O00001,A0255,R012,Event,Closed Won,3700.0,2025-02-09,2025-03-27,2025-Q1,true,true
O00002,A0179,R002,Inbound,Closed Lost,11300.0,2025-02-18,2025-04-01,2025-Q2,false,true
O00003,A0105,R004,Inbound,Closed Lost,21800.0,2024-05-04,2024-06-19,2024-Q2,false,true
O00004,A0203,R015,Outbound,Closed Lost,12500.0,2025-01-16,2025-03-14,2025-Q1,false,true
O00005,A0266,R005,Event,Closed Lost,6000.0,2024-01-23,2024-02-10,2024-Q1,false,true
O00006,A0095,R012,Referral,Closed Won,17100.0,2024-05-05,2024-05-21,2024-Q2,true,true
O00007,A0444,R015,Outbound,Closed Lost,8700.0,2025-05-23,2025-06-07,2025-Q2,false,true
O00008,A0192,R007,Outbound,Closed Won,72800.0,2024-10-13,2025-01-23,2025-Q1,true,true
O00009,A0252,R024,Inbound,Closed Lost,9200.0,2024-10-29,2024-12-13,2024-Q4,false,true
O00010,A0287,R013,Outbound,Closed Lost,30400.0,2024-05-20,2024-08-26,2024-Q3,false,true
O00011,A0557,R017,Outbound,Closed Lost,233500.0,2025-01-26,2025-07-26,2025-Q3,false,true
O00012,A0580,R020,Inbound,Closed Lost,137500.0,2025-02-01,2025-07-10,2025-Q3,false,true
O00013,A0288,R017,Inbound,Closed Lost,194400.0,2025-04-28,2025-12-09,2025-Q4,false,true
O00014,A0164,R003,Referral,Closed Lost,34500.0,2024-09-10,2024-11-24,2024-Q4,false,true
O00015,A0058,R009,Event,Closed Lost,8300.0,2025-08-12,2025-09-19,2025-Q3,false,true
O00016,A0181,R009,Referral,Closed Lost,15100.0,2025-08-29,2025-10-02,2025-Q4,false,true
O00017,A0029,R012,Event,Closed Lost,5100.0,2025-08-04,2025-09-23,2025-Q3,false,true
O00018,A0505,R021,Inbound,Closed Won,10400.0,2024-11-12,2024-12-07,2024-Q4,true,true
O00019,A0225,R017,Partner,Prospecting,80200.0,2025-06-23,,2025-Q2,,false
O00020,A0332,R017,Event,Closed Lost,267700.0,2024-01-23,2024-05-29,2024-Q2,false,true
O00021,A0539,R020,Outbound,Closed Lost,305500.0,2024-03-15,2024-09-16,2024-Q3,false,true
O00022,A0345,R020,Outbound,Closed Lost,392300.0,2024-11-26,2025-03-30,2025-Q1,false,true
O00023,A0499,R023,Event,Closed Lost,61800.0,2024-11-20,2025-01-26,2025-Q1,false,true
O00024,A0366,R006,Inbound,Closed Lost,68500.0,2025-11-12,2026-03-12,2026-Q1,false,true
O00025,A0182,R017,Inbound,Closed Lost,352200.0,2025-08-09,2026-02-15,2026-Q1,false,true
O00026,A0326,R019,Inbound,Closed Lost,24500.0,2024-08-14,2024-12-09,2024-Q4,false,true
O00027,A0080,R009,Inbound,Closed Lost,5500.0,2024-12-21,2025-01-24,2025-Q1,false,true
O00028,A0344,R020,Outbound,Closed Lost,147100.0,2024-01-12,2024-06-17,2024-Q2,false,true
O00029,A0111,R001,Inbound,Closed Lost,45200.0,2024-02-19,2024-05-23,2024-Q2,false,true
O00030,A0424,R018,Outbound,Closed Won,11200.0,2025-01-22,2025-02-27,2025-Q1,true,true
O00031,A0592,R024,Inbound,Closed Lost,9800.0,2024-08-18,2024-09-11,2024-Q3,false,true
O00032,A0021,R012,Outbound,Closed Won,4100.0,2024-09-24,2024-10-14,2024-Q4,true,true
O00033,A0077,R016,Outbound,Closed Lost,54800.0,2024-04-05,2024-07-02,2024-Q3,false,true
O00034,A0032,R015,Inbound,Closed Lost,12100.0,2025-10-31,2025-11-24,2025-Q4,false,true
O00035,A0340,R009,Partner,Closed Lost,13500.0,2024-07-13,2024-08-22,2024-Q3,false,true
O00036,A0272,R020,Outbound,Closed Lost,110700.0,2024-10-31,2025-03-30,2025-Q1,false,true
O00037,A0503,R008,Event,Closed Won,3100.0,2024-02-25,2024-04-02,2024-Q2,true,true
