rep_id,fiscal_quarter,quota_amount
R001,2024-Q1,140000
R001,2024-Q2,140000
R001,2024-Q3,411000.0
R001,2024-Q4,140000
R001,2025-Q1,140000
R001,2025-Q2,172000.0
R001,2025-Q3,144000.0
R001,2025-Q4,140000
R002,2024-Q1,60000
R002,2024-Q2,142000.0
R002,2024-Q3,60000
R002,2024-Q4,304000.0
R002,2025-Q1,61000.0
R002,2025-Q2,60000
R002,2025-Q3,97000.0
R002,2025-Q4,65000.0
R003,2024-Q1,140000
R003,2024-Q2,140000
R003,2024-Q3,140000
R003,2024-Q4,219000.0
R003,2025-Q1,140000
R003,2025-Q2,140000
R003,2025-Q3,140000
R003,2025-Q4,310000.0
R004,2024-Q1,140000
R004,2024-Q2,140000
R004,2024-Q3,203000.0
R004,2024-Q4,265000.0
R004,2025-Q1,400000.0
R004,2025-Q2,140000
R004,2025-Q3,140000
R004,2025-Q4,140000
R005,2024-Q1,60000
R005,2024-Q2,118000.0
R005,2024-Q3,60000
R005,2024-Q4,64000.0
R005,2025-Q1,60000
R005,2025-Q2,60000
R005,2025-Q3,80000.0
R005,2025-Q4,60000
R006,2024-Q1,140000
R006,2024-Q2,160000.0
R006,2024-Q3,260000.0
R006,2024-Q4,287000.0
R006,2025-Q1,140000
R006,2025-Q2,343000.0
R006,2025-Q3,354000.0
R006,2025-Q4,140000
R007,2024-Q1,140000
R007,2024-Q2,140000
R007,2024-Q3,200000.0
R007,2024-Q4,190000.0
R007,2025-Q1,236000.0
R007,2025-Q2,140000
R007,2025-Q3,140000
R007,2025-Q4,248000.0
R008,2024-Q1,60000
R008,2024-Q2,60000
R008,2024-Q3,109000.0
R008,2024-Q4,119000.0
R008,2025-Q1,123000.0
R008,2025-Q2,60000
R008,2025-Q3,123000.0
R008,2025-Q4,102000.0
R009,2024-Q1,60000
R009,2024-Q2,94000.0
R009,2024-Q3,123000.0
R009,2024-Q4,71000.0
R009,2025-Q1,81000.0
R009,2025-Q2,73000.0
R009,2025-Q3,126000.0
R009,2025-Q4,60000
R010,2024-Q1,140000
R010,2024-Q2,153000.0
R010,2024-Q3,142000.0
R010,2024-Q4,140000
R010,2025-Q1,140000
R010,2025-Q2,140000
R010,2025-Q3,224000.0
R010,2025-Q4,140000
R011,2024-Q1,60000
R011,2024-Q2,60000
R011,2024-Q3,90000.0
R011,2024-Q4,87000.0
R011,2025-Q1,60000
R011,2025-Q2,203000.0
R011,2025-Q3,78000.0
R011,2025-Q4,60000
R012,2024-Q1,60000
R012,2024-Q2,135000.0
R012,2024-Q3,63000.0
R012,2024-Q4,157000.0
R012,2025-Q1,60000
R012,2025-Q2,60000
R012,2025-Q3,66000.0
R012,2025-Q4,72000.0
R013,2024-Q1,140000
R013,2024-Q2,140000
R013,2024-Q3,182000.0
R013,2024-Q4,143000.0
R013,2025-Q1,140000
R013,2025-Q2,295000.0
R013,2025-Q3,140000
R013,2025-Q4,140000
R014,2024-Q1,140000
R014,2024-Q2,140000
R014,2024-Q3,202000.0
R014,2024-Q4,289000.0
R014,2025-Q1,140000
R014,2025-Q2,140000
R014,2025-Q3,178000.0
R014,2025-Q4,140000
R015,2024-Q1,60000
R015,2024-Q2,69000.0
R015,2024-Q3,161000.0
R015,2024-Q4,76000.0
R015,2025-Q1,78000.0
R015,2025-Q2,60000
R015,2025-Q3,74000.0
R015,2025-Q4,60000
R016,2024-Q1,140000
R016,2024-Q2,140000
R016,2024-Q3,140000
R016,2024-Q4,140000
R016,2025-Q1,140000
R016,2025-Q2,140000
R016,2025-Q3,305000.0
R016,2025-Q4,189000.0
R017,2024-Q1,350000
R017,2024-Q2,472000.0
R017,2024-Q3,1910000.0
R017,2024-Q4,2321000.0
R017,2025-Q1,828000.0
R017,2025-Q2,1205000.0
R017,2025-Q3,2391000.0
R017,2025-Q4,4104000.0
R018,2024-Q1,75000.0
R018,2024-Q2,69000.0
R018,2024-Q3,141000.0
R018,2024-Q4,60000
R018,2025-Q1,86000.0
R018,2025-Q2,87000.0
R018,2025-Q3,83000.0
R018,2025-Q4,105000.0
R019,2024-Q1,140000
R019,2024-Q2,214000.0
R019,2024-Q3,140000
R019,2024-Q4,210000.0
R019,2025-Q1,140000
R019,2025-Q2,271000.0
R019,2025-Q3,286000.0
R019,2025-Q4,140000
R020,2024-Q1,350000
R020,2024-Q2,811000.0
R020,2024-Q3,2663000.0
R020,2024-Q4,2015000.0
R020,2025-Q1,1584000.0
R020,2025-Q2,535000.0
R020,2025-Q3,1567000.0
R020,2025-Q4,798000.0
R021,2024-Q1,71000.0
R021,2024-Q2,95000.0
R021,2024-Q3,121000.0
R021,2024-Q4,60000
R021,2025-Q1,63000.0
R021,2025-Q2,75000.0
R021,2025-Q3,93000.0
R021,2025-Q4,134000.0
R022,2024-Q1,60000
R022,2024-Q2,67000.0
R022,2024-Q3,60000
R022,2024-Q4,80000.0
R022,2025-Q1,74000.0
R022,2025-Q2,97000.0
R022,2025-Q3,73000.0
R022,2025-Q4,107000.0
R023,2024-Q1,140000
R023,2024-Q2,140000
R023,2024-Q3,163000.0
R023,2024-Q4,140000
R023,2025-Q1,140000
R023,2025-Q2,189000.0
R023,2025-Q3,240000.0
R023,2025-Q4,140000
R024,2024-Q1,60000
R024,2024-Q2,60000
R024,2024-Q3,60000
R024,2024-Q4,96000.0
R024,2025-Q1,69000.0
R024,2025-Q2,110000.0
R024,2025-Q3,86000.0
R024,2025-Q4,60000
